reactor,run,echem,rep,minutes,E,electrode,current,exp
transfer,1,SWV,0,951.75,-0.053,i1,1.2788617e-7,1
transfer,1,SWV,0,951.75,-0.054,i1,1.1978918e-7,1
transfer,1,SWV,0,951.75,-0.055,i1,1.1739802e-7,1
transfer,1,SWV,0,951.75,-0.056,i1,1.3159661e-7,1
transfer,1,SWV,0,951.75,-0.057,i1,1.0507939e-7,1
transfer,1,SWV,0,951.75,-0.058,i1,1.3207483e-7,1
transfer,1,SWV,0,951.75,-0.059,i1,1.0743757e-7,1
transfer,1,SWV,0,951.75,-0.06,i1,1.2729251e-7,1
transfer,1,SWV,0,951.75,-0.061,i1,1.2348313e-7,1
transfer,1,SWV,0,951.75,-0.062,i1,1.1334129e-7,1
transfer,1,SWV,0,951.75,-0.063,i1,1.294528e-7,1
transfer,1,SWV,0,951.75,-0.064,i1,1.0105563e-7,1
transfer,1,SWV,0,951.75,-0.065,i1,1.2455504e-7,1
transfer,1,SWV,0,951.75,-0.066,i1,1.1355567e-7,1
transfer,1,SWV,0,951.75,-0.067,i1,1.19212e-7,1
transfer,1,SWV,0,951.75,-0.068,i1,1.2692971e-7,1
transfer,1,SWV,0,951.75,-0.069,i1,1.0872387e-7,1
transfer,1,SWV,0,951.75,-0.07,i1,1.2790267e-7,1
transfer,1,SWV,0,951.75,-0.071,i1,1.056071e-7,1
transfer,1,SWV,0,951.75,-0.072,i1,1.3721996e-7,1
transfer,1,SWV,0,951.75,-0.073,i1,1.2274104e-7,1
transfer,1,SWV,0,951.75,-0.074,i1,1.1484195e-7,1
transfer,1,SWV,0,951.75,-0.075,i1,1.2843037e-7,1
transfer,1,SWV,0,951.75,-0.076,i1,1.0969682e-7,1
transfer,1,SWV,0,951.75,-0.077,i1,1.2598974e-7,1
transfer,1,SWV,0,951.75,-0.078,i1,1.1804116e-7,1
transfer,1,SWV,0,951.75,-0.079,i1,1.236975e-7,1
transfer,1,SWV,0,951.75,-0.08,i1,1.3167906e-7,1
transfer,1,SWV,0,951.75,-0.081,i1,1.0362821e-7,1
transfer,1,SWV,0,951.75,-0.082,i1,1.2704514e-7,1
transfer,1,SWV,0,951.75,-0.083,i1,1.1012558e-7,1
transfer,1,SWV,0,951.75,-0.084,i1,1.2661638e-7,1
transfer,1,SWV,0,951.75,-0.085,i1,1.3120084000000001e-07,1
transfer,1,SWV,0,951.75,-0.086,i1,1.190636e-7,1
transfer,1,SWV,0,951.75,-0.087,i1,1.3133274e-7,1
transfer,1,SWV,0,951.75,-0.088,i1,1.0034653e-7,1
transfer,1,SWV,0,951.75,-0.089,i1,1.3619754e-7,1
transfer,1,SWV,0,951.75,-0.09,i1,1.0824563e-7,1
transfer,1,SWV,0,951.75,-0.091,i1,1.2241122e-7,1
transfer,1,SWV,0,951.75,-0.092,i1,1.3205835e-7,1
transfer,1,SWV,0,951.75,-0.093,i1,1.0527729e-7,1
transfer,1,SWV,0,951.75,-0.094,i1,1.3595017e-7,1
transfer,1,SWV,0,951.75,-0.095,i1,1.0013216e-7,1
transfer,1,SWV,0,951.75,-0.096,i1,1.2965069e-7,1
transfer,1,SWV,0,951.75,-0.097,i1,1.1814011e-7,1
transfer,1,SWV,0,951.75,-0.098,i1,1.2194948e-7,1
transfer,1,SWV,0,951.75,-0.099,i1,1.3319621e-7,1
transfer,1,SWV,0,951.75,-0.1,i1,1.0479904e-7,1
transfer,1,SWV,0,951.75,-0.101,i1,1.2678129e-7,1
