reactor,run,echem,rep,minutes,E_from_maxs,electrode,current_from_maxs,exp,max_current,E_from_mins,current_from_mins,min_current,signal
transfer,2,SWV,3,1000.2666666666667,-0.32,i2,2.9949229e-6,2,2.9949229e-6,-0.004,6.6026945e-7,6.6026945e-7,2.33465345e-6
transfer,2,SWV,4,1002.9666666666667,-0.322,i2,2.9523151e-6,2,2.9523151e-6,-0.029,6.6944745e-7,6.6944745e-7,2.28286765e-6
transfer,2,SWV,5,1005.7166666666667,-0.319,i2,2.908223e-6,2,2.908223e-6,-0.011,6.6895069e-7,6.6895069e-7,2.23927231e-6
transfer,2,SWV,6,1008.4166666666666,-0.32,i2,2.923545e-6,2,2.923545e-6,-0.002,6.5816357e-7,6.5816357e-7,2.2653814299999997e-6
transfer,2,SWV,7,1011.2166666666667,-0.318,i2,2.9802131e-6,2,2.9802131e-6,-0.005,6.6598301e-7,6.6598301e-7,2.31423009e-6
transfer,2,SWV,8,1013.9166666666666,-0.318,i2,2.923925e-6,2,2.923925e-6,-0.005,6.5958102e-7,6.5958102e-7,2.2643439800000004e-6
soak,3,SWV,0,1131.2166666666667,-0.273,i2,7.5975931e-6,2,7.5975931e-6,-0.007,1.0986668e-6,1.0986668e-6,6.4989263e-6
transfer,3,SWV,0,1134.15,-0.27,i2,5.4946363e-6,2,5.4946363e-6,-0.007,1.0555103e-6,1.0555103e-6,4.439126e-6
transfer,3,SWV,9,1159.4333333333334,-0.348,i2,2.9933447e-6,2,2.9933447e-6,-0.038,9.160641e-7,9.160641e-7,2.0772806000000004e-6
transfer,3,SWV,10,1162.1833333333334,-0.348,i2,2.9912007e-6,2,2.9912007e-6,-0.046,9.0217884e-7,9.0217884e-7,2.08902186e-6
transfer,3,SWV,11,1164.9,-0.348,i2,2.9073451e-6,2,2.9073451e-6,-0.031,9.060376e-7,9.060376e-7,2.0013075e-6
transfer,3,SWV,12,1167.6666666666667,-0.359,i2,2.8769359e-6,2,2.8769359e-6,-0.07,9.1441507e-7,9.1441507e-7,1.9625208300000002e-6
transfer,3,SWV,13,1170.4666666666667,-0.343,i2,2.8264246e-6,2,2.8264246e-6,-0.042,8.858035e-7,8.858035e-7,1.9406211e-6
transfer,3,SWV,14,1173.2166666666667,-0.347,i2,2.7728461e-6,2,2.7728461e-6,-0.062,8.980561e-7,8.980561e-7,1.87479e-6
transfer,3,SWV,15,1176.0166666666667,-0.334,i2,2.6854118e-6,2,2.6854118e-6,-0.06,9.1934578e-7,9.1934578e-7,1.7660660200000003e-6
transfer,3,SWV,1,1137.1,-0.278,i2,3.7941213e-6,2,3.7941213e-6,-0.02,1.0836436e-6,1.0836436e-6,2.7104776999999997e-6
transfer,3,SWV,2,1139.9166666666667,-0.274,i2,3.8283729e-6,2,3.8283729e-6,-0.021,9.7722841e-7,9.7722841e-7,2.85114449e-6
transfer,3,SWV,3,1142.6333333333334,-0.328,i2,3.6773831e-6,2,3.6773831e-6,-0.017,9.7287489e-7,9.7287489e-7,2.70450821e-6
transfer,3,SWV,4,1145.3333333333333,-0.33,i2,3.5754699e-6,2,3.5754699e-6,-0.059,9.0013395e-7,9.0013395e-7,2.6753359499999998e-6
transfer,3,SWV,5,1148.05,-0.324,i2,3.3699448e-6,2,3.3699448e-6,-0.007,9.040258e-7,9.040258e-7,2.465919e-6
transfer,3,SWV,6,1151.1166666666666,-0.322,i2,3.2454559e-6,2,3.2454559e-6,-0.028,9.0894002e-7,9.0894002e-7,2.3365158799999996e-6
transfer,3,SWV,7,1153.85,-0.318,i2,3.1531074e-6,2,3.1531074e-6,-0.047,9.4644008e-7,9.4644008e-7,2.20666732e-6
transfer,3,SWV,8,1156.6833333333334,-0.34,i2,3.0886777e-6,2,3.0886777e-6,-0.07,9.2905884e-7,9.2905884e-7,2.1596188600000003e-6
control,transfer,0,NA,890.35,-0.4,i2,8.4664032e-7,2,8.4664032e-7,-0.018,6.2333714e-7,6.2333714e-7,2.2330318000000004e-7
